61,46027076100,(3003, 3003)
62,1519654500,(153, 153)
63,38427717300,(4181, 4181)
64,4319023300,(453, 453)
65,10590479700,(1003, 1003)
66,32056954100,(4181, 4181)
67,26160541100,(1903, 1903)
68,2777672100,(253, 253)
69,38690115800,(3303, 3303)
70,33340760000,(4331, 4331)
71,18482231200,(2153, 2153)
72,3355303500,(453, 453)
73,29154339600,(3303, 3303)
74,5662293900,(753, 753)
75,26190276800,(3003, 3003)
76,2441019400,(353, 353)
77,31760535800,(4131, 4131)
78,21766569100,(1653, 1653)
79,10827082100,(853, 853)
80,2723907200,(253, 253)
81,5483350800,(453, 453)
82,21960384200,(1603, 1603)
83,22795940800,(1703, 1703)
84,32547089300,(4181, 4181)
85,1640358400,(253, 253)
86,16049147000,(1903, 1903)
87,17402802500,(1953, 1953)
88,31766992600,(4131, 4131)
89,28385843800,(3153, 3153)
90,19826326500,(2253, 2253)
91,35522340100,(4481, 4481)
92,8956031700,(1003, 1003)
93,1043642300,(153, 153)
94,11649428500,(1253, 1253)
95,21817023200,(2253, 2253)
96,3621978600,(453, 453)
97,9920960700,(1103, 1103)
98,39958941100,(4431, 4431)
99,40907413200,(4181, 4181)
100,5971876900,(503, 503)
101,24990649500,(1803, 1803)
102,27998116200,(1953, 1953)
103,17814225800,(1303, 1303)
104,3771686700,(353, 353)
105,36281176700,(4331, 4331)
106,17364597100,(1753, 1753)
107,26439799500,(2603, 2603)
108,3869918300,(453, 453)
109,736887000,(103, 103)
110,36210826800,(4331, 4331)
111,6499922300,(753, 753)
112,34523315100,(4181, 4181)
113,13829044200,(1353, 1353)
114,24057938400,(2253, 2253)
115,9712706400,(1003, 1003)
116,4676140900,(503, 503)
117,41255436800,(3603, 3603)
118,24684947900,(1603, 1603)
119,42209331400,(4831, 4831)
120,9401104100,(753, 753)
121,37716543200,(4431, 4431)
122,46042949200,(3003, 3003)
123,99068368500,(5703, 5703)
124,1350743600,(153, 153)
125,69264699300,(4253, 4253)
126,34759449300,(4181, 4181)
127,75538523000,(4403, 4403)
128,12138276800,(853, 853)
129,64363199500,(4053, 4053)
130,12946166100,(1003, 1003)
131,13518425700,(1053, 1053)
132,37150799200,(4181, 4181)
133,37755169800,(4381, 4381)
134,23982914200,(1903, 1903)
135,68185517700,(4503, 4503)
136,3007208300,(253, 253)
137,89154711200,(5103, 5103)
138,54582515500,(3303, 3303)
139,4107502900,(303, 303)
140,36555464800,(4331, 4331)
141,36565362500,(3603, 3603)
142,20079197400,(2153, 2153)
143,39240488100,(4481, 4481)
144,3564621200,(453, 453)
145,4101380300,(503, 503)
146,35960042600,(3303, 3303)
